Sample in Buffer	Sample in Window	addra_0	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	0B	103E82	1CB080	012A09	1DC05D	16230A	1EE50B	1B3A17	07AA84	
1	1	0C	103E82	1CB080	012A09	1DC05D	16230A	1EE50B	1B3A17	07AA84	
2	2	0C	103E82	1CB080	012A09	1DC05D	16230A	1EE50B	1B3A17	07AA84	
3	3	0C	103E82	1CB080	012A09	1DC05D	16230A	1EE50B	1B3A17	07AA84	
4	4	0C	103E82	1CB080	05601E	1DC05D	16230A	1EE50B	1B3A17	07AA84	
5	5	0C	103E82	1CB080	05601E	1DC05D	16230A	1EE50B	1B3A17	07AA84	
6	6	0C	103E82	1CB080	05601E	1DC05D	16230A	1EE50B	1B3A17	07AA84	
7	7	0C	103E82	1CB080	05601E	1DC05D	16230A	1EE50B	1B3A17	07AA84	
8	8	0C	000C00	1CB080	05601E	1DC05D	16230A	1EE50B	1B3A17	07AA84	
9	9	0C	000C00	1CB080	05601E	1DC05D	16230A	1EE50B	1B3A17	07AA84	
10	10	0C	000C00	1CB080	05601E	1DC05D	16230A	06E002	1B3A17	07AA84	
11	11	0C	000C00	1CB080	05601E	1DC05D	16230A	06E002	1B3A17	07AA84	
12	12	0C	000C00	1CB080	05601E	1DC05D	067384	06E002	1B3A17	07AA84	
13	13	0C	000C00	1CB080	05601E	1DC05D	067384	06E002	1B3A17	07AA84	
14	14	0C	000C00	1CB080	05601E	1DC05D	067384	0AE002	1B3A17	07AA84	
15	15	0C	000C00	1CB080	05601E	1DC05D	067384	0AE002	1B3A17	07AA84	
16	16	0C	000C00	1CB080	05601E	1DC05D	0A7384	0AE002	1B3A17	07AA84	
17	17	0C	000C00	1CB080	05601E	1DC05D	0A7384	0AE002	1B3A17	07AA84	
18	18	0C	000C00	1CB080	0D1C05	1DC05D	0A7384	0AE002	1B3A17	07AA84	
19	19	0C	000C00	1CB080	0D1C05	1DC05D	0A7384	0AE002	1B3A17	07AA84	
20	20	0C	000C00	1CB080	0D1C05	0DDE8D	0A7384	0AE002	1B3A17	07AA84	
21	21	0C	000C00	1CB080	0D1C05	0DDE8D	0A7384	0AE002	1B3A17	07AA84	
22	22	0C	140A03	1CB080	0D1C05	0DDE8D	0A7384	0AE002	1B3A17	07AA84	
23	23	0C	140A03	1CB080	0D1C05	0DDE8D	0A7384	0AE002	1B3A17	07AA84	
24	24	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
25	25	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
26	26	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
27	27	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
28	28	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
29	29	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
30	30	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
31	31	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
32	32	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
33	33	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
34	34	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
35	35	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
36	36	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
37	37	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
38	38	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
39	39	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
40	40	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
41	41	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
42	42	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
43	43	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
44	44	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
45	45	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
46	46	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
47	47	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
48	48	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
49	49	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
50	50	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
51	51	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
52	52	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
53	53	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
54	54	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
55	55	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
56	56	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
57	57	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
58	58	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
59	59	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
60	60	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
61	61	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
62	62	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
63	63	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
64	64	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
65	65	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
66	66	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
67	67	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
68	68	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
69	69	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
70	70	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
71	71	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
72	72	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
73	73	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
74	74	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
75	75	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
76	76	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
77	77	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
78	78	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
79	79	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
80	80	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
81	81	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
82	82	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
83	83	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
84	84	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
85	85	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
86	86	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
87	87	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
88	88	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
89	89	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
90	90	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
91	91	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
92	92	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
93	93	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
94	94	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
95	95	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
96	96	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
97	97	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
98	98	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
99	99	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
100	100	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
101	101	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
102	102	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
103	103	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
104	104	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
105	105	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
106	106	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
107	107	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
108	108	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
109	109	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
110	110	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
111	111	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
112	112	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
113	113	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
114	114	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
115	115	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
116	116	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
117	117	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
118	118	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
119	119	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
120	120	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
121	121	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
122	122	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
123	123	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
124	124	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
125	125	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
126	126	0C	140A03	1CB080	0D1C05	0DDE8D	0673D4	0AE002	1B3A17	07AA84	
