Sample in Buffer	Sample in Window	addra_0	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	04	041B07	0C8E5F	0D63E7	1DD50D	064A15	1EDC08	1B4284	03AD53	
1	1	04	041B07	0C8E5F	0D63E7	1DD50D	064A15	1EDC08	1B4284	03AD53	
2	2	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
3	3	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
4	4	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
5	5	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
6	6	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
7	7	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
8	8	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
9	9	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
10	10	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
11	11	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
12	12	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
13	13	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
14	14	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
15	15	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
16	16	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
17	17	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
18	18	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
19	19	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
20	20	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
21	21	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
22	22	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
23	23	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
24	24	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
25	25	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
26	26	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
27	27	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
28	28	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
29	29	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
30	30	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
31	31	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
32	32	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
33	33	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
34	34	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
35	35	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
36	36	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
37	37	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
38	38	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
39	39	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
40	40	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
41	41	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
42	42	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
43	43	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
44	44	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
45	45	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
46	46	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
47	47	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
48	48	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
49	49	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
50	50	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
51	51	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
52	52	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
53	53	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
54	54	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
55	55	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
56	56	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
57	57	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
58	58	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
59	59	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
60	60	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
61	61	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
62	62	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
63	63	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
64	64	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
65	65	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
66	66	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
67	67	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
68	68	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
69	69	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
70	70	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
71	71	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
72	72	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
73	73	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
74	74	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
75	75	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
76	76	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
77	77	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
78	78	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
