Sample in Buffer	Sample in Window	addra_0	chipID	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	00	4	0C1B07	089A80	0D1C0F	19D68A	0631EC	12A787	033082	0F8187	
1	1	00	3	0C1B07	089A80	0D1C0F	19D68A	123807	12A787	033082	0F8187	
2	2	00	3	0C1B07	089A80	0D1C0F	19D68A	123807	12A787	033082	0F8187	
3	3	00	2	0C1B07	089A80	0D1C0F	0D8584	123807	12A787	033082	0F8187	
4	4	00	1	0C1B07	089A80	0D1C0F	0DE85B	123807	12A787	033082	0F8187	
5	5	00	4	0C1B07	089A80	117D57	0DE85B	123807	12A787	033082	0F8187	
6	6	00	4	0C1B07	188E5F	117D57	0DE85B	123807	12A787	033082	0F8187	
7	7	00	2	0C1B07	188E5F	117D57	0DE85B	1E6450	12A787	033082	0F8187	
8	8	00	2	0C1B07	188E5F	117D57	0DE85B	121860	12A787	033082	0F8187	
9	9	00	0	0C1B07	188E5F	1963E7	0DE85B	121860	12A787	033082	0F8187	
10	10	01	6	044167	188E5F	1932EE	0DE85B	121860	12A787	033082	0F8187	
11	11	01	4	044167	188E5F	1932EE	0DE85B	121860	12A787	0F646F	0F8187	
12	12	01	0	044167	188E5F	1932EE	0DE85B	121860	12A787	0F646F	0F8187	
13	13	01	3	044167	188E5F	1932EE	0DE85B	024F00	12A787	0F646F	0F8187	
14	14	01	0	043F89	188E5F	1932EE	0DE85B	024F00	12A787	0F646F	0F8187	
15	15	01	0	043F89	188E5F	1932EE	15DC8B	024F00	12A787	0F646F	0F8187	
16	16	01	5	186E05	188E5F	1932EE	15DC8B	024F00	12A787	0F646F	0F8187	
17	17	01	4	1C3E82	188E5F	1932EE	15DC8B	024F00	12A787	0F646F	0F8187	
18	18	01	4	1C3E82	188E5F	1932EE	15DC8B	024F00	0EAA82	0F646F	0F8187	
19	19	01	7	1C3E82	188E5F	1932EE	15DC8B	0E068F	0EAA82	0F646F	0F8187	
20	20	02	1	1C3E82	188E5F	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
21	21	02	4	1C3E82	04C784	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
22	22	02	5	1C3E82	04C784	1932EE	15DC8B	0E130F	0EAA82	0F646F	17A30D	
23	23	02	7	1C3E82	04C784	1932EE	15DC8B	162304	0EAA82	0F646F	17A30D	
24	24	02	2	1C3E82	04C784	1932EE	15DC8B	162304	1EB007	0F646F	17A30D	
25	25	02	2	1C3E82	04C784	1932EE	15DC8B	162304	1EB007	0F646F	03AB14	
26	26	02	7	1C3E82	04C784	1D091E	15DC8B	162304	1EB007	0F646F	03AB14	
27	27	02	7	1C3E82	04C784	0D2F2F	15DC8B	162304	1EB007	0F646F	03AB14	
28	28	02	6	1C3E82	04C784	0D2F2F	15DC8B	162304	1EB007	0F646F	13CD25	
29	29	02	6	1C3E82	04C784	0D2F2F	15DC8B	162304	1EB007	0F646F	139B65	
30	30	03	1	1C3E82	04C784	0D2F2F	15DC8B	162304	1EB007	173BEB	139B65	
31	31	03	1	1C3E82	00DEE5	0D2F2F	15DC8B	162304	1EB007	173BEB	139B65	
32	32	03	2	1C3E82	00DEE5	0D2F2F	15DC8B	162304	1EB007	173BEB	139B65	
33	33	03	5	1C3E82	00CA0B	0D2F2F	15DC8B	162304	1EB007	173BEB	139B65	
34	34	03	7	1C3E82	00CA0B	094F88	15DC8B	162304	1EB007	173BEB	139B65	
35	35	03	4	1C3E82	00CA0B	094F88	15DC8B	162304	1EDC08	173BEB	139B65	
36	36	03	1	1C3E82	00CA0B	094F88	15DC8B	162304	1EDC08	173BEB	03F989	
37	37	03	6	1C3E82	00CA0B	094F88	15DC8B	16230A	1EDC08	173BEB	03F989	
38	38	03	1	1C3E82	14C48D	094F88	15DC8B	16230A	1EDC08	173BEB	03F989	
39	39	03	3	1C3E82	14C48D	094F88	15DC8B	16230A	1EDC08	1B4284	03F989	
40	40	04	7	1C3E82	1C8188	094F88	1DD50D	16230A	1EDC08	1B4284	03F989	
41	41	04	4	1C3E82	1C8188	094F88	1DD50D	16230A	1EDC08	1B4284	03AD53	
42	42	04	0	1C3E82	1C8188	094F88	1DD50D	16230A	1EDC08	1B4284	03AD53	
43	43	04	2	1C3E82	1C8188	094F88	1DD50D	066403	1EDC08	1B4284	03AD53	
44	44	04	4	041B07	1C8188	094F88	1DD50D	066403	1EDC08	1B4284	03AD53	
45	45	04	4	041B07	1C8188	051C0F	1DD50D	066403	1EDC08	1B4284	03AD53	
46	46	04	2	041B07	1C8188	051C0F	1DD50D	1A4002	1EDC08	1B4284	03AD53	
47	47	04	1	041B07	1C8188	051C0F	1DD50D	064A15	1EDC08	1B4284	03AD53	
48	48	04	2	041B07	1C8188	097D57	1DD50D	064A15	1EDC08	1B4284	03AD53	
49	49	04	2	041B07	0C8E5F	097D57	1DD50D	064A15	1EDC08	1B4284	03AD53	
50	50	05	4	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
51	51	05	3	041B07	0C8E5F	0D32EE	1DD50D	0A1860	1EDC08	1B4284	03AD53	
52	52	05	7	041B07	0C8E5F	0D32EE	1DD50D	0A1860	1EDC08	1B4284	03AD53	
53	53	05	0	041B07	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	03AD53	
54	54	05	1	041B07	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
