Sample in Buffer	Sample in Window	addra_0	chipID	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	14	4	107507	089A80	052508	05F50C	02130F	02AA82	0B2A92	138587	
1	1	14	4	107507	089A80	052508	05F50C	022614	02AA82	0B2A92	138587	
2	2	14	6	107507	089A80	052508	05F50C	022614	02AA82	0B2A92	138587	
3	3	14	6	107507	089A80	052508	05F50C	0A7086	02AA82	0B2A92	138587	
4	4	14	7	107507	089A80	052508	05F50C	0A7086	02AA82	0B0B87	138587	
5	5	14	1	107507	089A80	052508	05F50C	0A7086	02AA82	031206	138587	
6	6	14	0	107507	089A80	052508	05F50C	0A7086	02AA82	031206	03DF0A	
7	7	14	6	107507	08FA00	052508	05F50C	0A7086	02AA82	031206	03DF0A	
8	8	14	6	085282	08FA00	052508	05F50C	0A7086	02AA82	031206	03DF0A	
9	9	14	5	085282	08FA00	052508	05F50C	0A7086	02AA82	0B2A84	03DF0A	
10	10	14	6	085282	08FA00	052508	05F50C	0A7086	02AA82	0B4485	03DF0A	
11	11	14	6	085282	08FA00	052508	05F50C	0A7086	02F103	0B4485	03DF0A	
12	12	15	5	085282	08FA00	052508	05F50C	0A7086	02F103	0B6208	03DF0A	
13	13	15	3	085282	08FA00	052508	05F50C	0A7086	02F103	0B6208	03DF0A	
14	14	15	7	085282	08FA00	052508	05F50C	0A7086	0AE386	0B6208	03DF0A	
15	15	15	3	085282	08FA00	052508	0DD204	0A7086	0AE386	0B6208	03DF0A	
16	16	15	5	085282	08FA00	052508	0DD204	0A7086	0AE386	0B6208	0F8187	
17	17	15	7	085282	08FA00	052508	11D68A	0A7086	0AE386	0B6208	0F8187	
18	18	15	7	085282	08FA00	052508	11D68A	0A7086	16A787	0B6208	0F8187	
19	19	15	7	085282	08FA00	052508	11D68A	0A7086	16A787	0B6208	17EB8D	
20	20	15	3	085282	08FA00	052508	11D68A	0A7086	16A787	0B6208	0B9B89	
21	21	15	4	085282	08FA00	052508	11D68A	0A7086	16A787	0B6208	0F8187	
22	22	15	4	085282	08FA00	052508	11D603	0A7086	16A787	0B6208	0F8187	
23	23	16	3	085282	08FA00	052508	11D603	163807	16A787	0B6208	0F8187	
24	24	16	4	085282	08FA00	052508	11D603	163807	16A787	0B6208	0F8187	
25	25	16	0	085282	08FA00	052508	09C18E	163807	16A787	0B6208	0F8187	
26	26	16	2	085282	08FA00	052508	09C18E	0E6403	16A787	0B6208	0F8187	
27	27	16	6	0C1B07	08FA00	052508	09C18E	0E6403	16A787	0B6208	0F8187	
28	28	16	3	0C1B07	08FA00	0D1C0F	09C18E	0E6403	16A787	0B6208	0F8187	
29	29	16	4	0C1B07	08FA00	0D1C0F	09C18E	0E6403	16A787	0B2A92	0F8187	
30	30	16	1	0C1B07	08FA00	0D1C0F	09C1DE	0E6403	16A787	0B2A92	0F8187	
31	31	16	3	0C1B07	08FA00	0D1C0F	09C1DE	0E4A15	16A787	0B2A92	0F8187	
32	32	16	4	0C1B07	10B018	0D1C0F	09C1DE	0E4A15	16A787	0B2A92	0F8187	
33	33	16	4	0C1B07	10B018	0D1C0F	019FE2	0E4A15	16A787	0B2A92	0F8187	
34	34	17	6	0C1B07	10B018	0D1C0F	019FE2	0631EC	16A787	0B2A92	0F8187	
35	35	17	3	0C1B07	10B018	0D1C0F	019FE2	0631EC	16A787	0B2A92	0F8187	
36	36	17	1	0C1B07	10B018	0D1C0F	019FE2	0631EC	16A787	033082	0F8187	
37	37	17	3	0C1B07	10B018	0D1C0F	05D68A	0631EC	16A787	033082	0F8187	
38	38	17	7	0C1B07	089A80	0D1C0F	05D68A	0631EC	16A787	033082	0F8187	
39	39	17	5	0C1B07	089A80	0D1C0F	0DD204	0631EC	16A787	033082	0F8187	
40	40	17	7	0C1B07	089A80	0D1C0F	0DD204	0631EC	16A787	033082	0F8187	
41	41	17	3	0C1B07	089A80	0D1C0F	0DD204	0631EC	12A787	033082	0F8187	
42	42	17	7	0C1B07	089A80	0D1C0F	0DD204	0631EC	12A787	033082	13EB8D	
43	43	17	4	0C1B07	089A80	0D1C0F	19D68A	0631EC	12A787	033082	13EB8D	
44	44	17	4	0C1B07	089A80	0D1C0F	19D68A	0631EC	12A787	033082	0F8187	
45	45	00	3	0C1B07	089A80	0D1C0F	19D68A	123807	12A787	033082	0F8187	
46	46	00	3	0C1B07	089A80	0D1C0F	19D68A	123807	12A787	033082	0F8187	
47	47	00	2	0C1B07	089A80	0D1C0F	0D8584	123807	12A787	033082	0F8187	
48	48	00	1	0C1B07	089A80	0D1C0F	0DE85B	123807	12A787	033082	0F8187	
49	49	00	4	0C1B07	089A80	117D57	0DE85B	123807	12A787	033082	0F8187	
50	50	00	4	0C1B07	188E5F	117D57	0DE85B	123807	12A787	033082	0F8187	
51	51	00	2	0C1B07	188E5F	117D57	0DE85B	1E6450	12A787	033082	0F8187	
52	52	00	2	0C1B07	188E5F	117D57	0DE85B	121860	12A787	033082	0F8187	
53	53	00	0	0C1B07	188E5F	1963E7	0DE85B	121860	12A787	033082	0F8187	
54	54	00	6	0C1B07	188E5F	1932EE	0DE85B	121860	12A787	033082	0F8187	
55	55	00	6	044167	188E5F	1932EE	0DE85B	121860	12A787	033082	0F8187	
56	56	01	4	044167	188E5F	1932EE	0DE85B	121860	12A787	0F646F	0F8187	
57	57	01	0	044167	188E5F	1932EE	0DE85B	121860	12A787	0F646F	0F8187	
58	58	01	3	044167	188E5F	1932EE	0DE85B	024F00	12A787	0F646F	0F8187	
59	59	01	0	043F89	188E5F	1932EE	0DE85B	024F00	12A787	0F646F	0F8187	
60	60	01	0	043F89	188E5F	1932EE	15DC8B	024F00	12A787	0F646F	0F8187	
61	61	01	5	186E05	188E5F	1932EE	15DC8B	024F00	12A787	0F646F	0F8187	
62	62	01	4	1C3E82	188E5F	1932EE	15DC8B	024F00	12A787	0F646F	0F8187	
63	63	01	4	1C3E82	188E5F	1932EE	15DC8B	024F00	0EAA82	0F646F	0F8187	
64	64	01	7	1C3E82	188E5F	1932EE	15DC8B	0E068F	0EAA82	0F646F	0F8187	
