* RegName  				Page	RegAddr		DefData		WrData
*-------------------------------------------------------------------------------------
FrontEndControl				0x00	0x00		0x3C		0x00
*Page1
TriggerLatency				0x00	0x01		0xC8		0x20
HitDetectSLVS				0x00	0x02		0xA8		0xE7
Ipre1					0x00	0x03		0x46		0xF0
Ipre2					0x00	0x04		0x2E		0x14
Ipsf					0x00	0x05		0x7A		0x2D
Ipa					0x00	0x06		0x6A		0x1E
Ipaos					0x00	0x07		0x4B		0x2D
Vpafb					0x00	0x08		0x60		0x00
Icomp					0x00	0x09		0xC4		0x1E
Vpc					0x00	0x0A		0x3F		0x4B
Vplus					0x00	0x0B		0x80		0x64
VCth					0x00	0x0C		0x7F		0xAF
TestPulsePot				0x00	0x0D		0x00		0x30
SelTestPulseDel&ChanGroup		0x00	0x0E		0x00		0xA2
MiscTestPulseCtrl&AnalogMux		0x00	0x0F		0x00		0xE4
TestPulseChargePumpCurrent		0x00	0x10		0x64		0x64
TestPulseChargeMirrCascodeVolt		0x00	0x11		0x3F		0x41
CwdWindow&Coincid			0x00	0x18		0x00		0xC0
MiscStubLogic				0x00	0x19		0x30		0x8E
MaskChannelFrom008downto001		0x00	0x20		0x0		0xFF
MaskChannelFrom016downto009		0x00	0x21		0x0		0xFF
MaskChannelFrom024downto017		0x00	0x22		0x0		0xFF
MaskChannelFrom032downto025		0x00	0x23		0x0		0xFF
MaskChannelFrom040downto033		0x00	0x24		0x0		0xFF
MaskChannelFrom048downto041		0x00	0x25		0x0		0xFF
MaskChannelFrom056downto049		0x00	0x26		0x0		0xFF
MaskChannelFrom064downto057		0x00	0x27		0x0		0xFF
MaskChannelFrom072downto065		0x00	0x28		0x0		0xFF
MaskChannelFrom080downto073		0x00	0x29		0x0		0xFF
MaskChannelFrom088downto081		0x00	0x2A		0x0		0xFF
MaskChannelFrom096downto089		0x00	0x2B		0x0		0xFF
MaskChannelFrom104downto097		0x00	0x2C		0x0		0xFF
MaskChannelFrom112downto105		0x00	0x2D		0x0		0xFF
MaskChannelFrom120downto113		0x00	0x2E		0x0		0xFF
MaskChannelFrom128downto121		0x00	0x2F		0x0		0xFF
MaskChannelFrom136downto129		0x00	0x30		0x0		0xFF
MaskChannelFrom144downto137		0x00	0x31		0x0		0xFF
MaskChannelFrom152downto145		0x00	0x32		0x0		0xFF
MaskChannelFrom160downto153		0x00	0x33		0x0		0xFF
MaskChannelFrom168downto161		0x00	0x34		0x0		0xFF
MaskChannelFrom176downto169		0x00	0x35		0x0		0xFF
MaskChannelFrom184downto177		0x00	0x36		0x0		0xFF
MaskChannelFrom192downto185		0x00	0x37		0x0		0xFF
MaskChannelFrom200downto193		0x00	0x38		0x0		0xFF
MaskChannelFrom208downto201		0x00	0x39		0x0		0xFF
MaskChannelFrom216downto209		0x00	0x3A		0x0		0xFF
MaskChannelFrom224downto217		0x00	0x3B		0x0		0xFF
MaskChannelFrom232downto225		0x00	0x3C		0x0		0xFF
MaskChannelFrom240downto233		0x00	0x3D		0x0		0xFF
MaskChannelFrom248downto241		0x00	0x3E		0x0		0xFF
MaskChannelFrom254downto249		0x00	0x3F		0x0		0xFF
*Page2
Channel001				0x01	0x01		0x80		0x59
Channel002				0x01	0x02		0x80		0x4E
Channel003				0x01	0x03		0x80		0x4A
Channel004				0x01	0x04		0x80		0x83
Channel005				0x01	0x05		0x80		0x68
Channel006				0x01	0x06		0x80		0x2D
Channel007				0x01	0x07		0x80		0x5D
Channel008				0x01	0x08		0x80		0x39
Channel009				0x01	0x09		0x80		0x45
Channel010				0x01	0x0A		0x80		0x9C
Channel011				0x01	0x0B		0x80		0x61
Channel012				0x01	0x0C		0x80		0x94
Channel013				0x01	0x0D		0x80		0x60
Channel014				0x01	0x0E		0x80		0x99
Channel015				0x01	0x0F		0x80		0x5D
Channel016				0x01	0x10		0x80		0x59
Channel017				0x01	0x11		0x80		0x60
Channel018				0x01	0x12		0x80		0x4E
Channel019				0x01	0x13		0x80		0x49
Channel020				0x01	0x14		0x80		0x53
Channel021				0x01	0x15		0x80		0x5B
Channel022				0x01	0x16		0x80		0x5F
Channel023				0x01	0x17		0x80		0x57
Channel024				0x01	0x18		0x80		0x4A
Channel025				0x01	0x19		0x80		0x5E
Channel026				0x01	0x1A		0x80		0x48
Channel027				0x01	0x1B		0x80		0x45
Channel028				0x01	0x1C		0x80		0x59
Channel029				0x01	0x1D		0x80		0x48
Channel030				0x01	0x1E		0x80		0x5E
Channel031				0x01	0x1F		0x80		0x5E
Channel032				0x01	0x20		0x80		0x62
Channel033				0x01	0x21		0x80		0x48
Channel034				0x01	0x22		0x80		0x51
Channel035				0x01	0x23		0x80		0x55
Channel036				0x01	0x24		0x80		0x4F
Channel037				0x01	0x25		0x80		0x38
Channel038				0x01	0x26		0x80		0x51
Channel039				0x01	0x27		0x80		0x50
Channel040				0x01	0x28		0x80		0x52
Channel041				0x01	0x29		0x80		0x62
Channel042				0x01	0x2A		0x80		0x57
Channel043				0x01	0x2B		0x80		0x51
Channel044				0x01	0x2C		0x80		0x56
Channel045				0x01	0x2D		0x80		0x61
Channel046				0x01	0x2E		0x80		0x59
Channel047				0x01	0x2F		0x80		0x57
Channel048				0x01	0x30		0x80		0x50
Channel049				0x01	0x31		0x80		0x4C
Channel050				0x01	0x32		0x80		0x58
Channel051				0x01	0x33		0x80		0x58
Channel052				0x01	0x34		0x80		0x58
Channel053				0x01	0x35		0x80		0x67
Channel054				0x01	0x36		0x80		0x5D
Channel055				0x01	0x37		0x80		0x3F
Channel056				0x01	0x38		0x80		0x5B
Channel057				0x01	0x39		0x80		0x4E
Channel058				0x01	0x3A		0x80		0x48
Channel059				0x01	0x3B		0x80		0x66
Channel060				0x01	0x3C		0x80		0x51
Channel061				0x01	0x3D		0x80		0x58
Channel062				0x01	0x3E		0x80		0x55
Channel063				0x01	0x3F		0x80		0x5E
Channel064				0x01	0x40		0x80		0x48
Channel065				0x01	0x41		0x80		0x59
Channel066				0x01	0x42		0x80		0x58
Channel067				0x01	0x43		0x80		0x5B
Channel068				0x01	0x44		0x80		0x6D
Channel069				0x01	0x45		0x80		0x4D
Channel070				0x01	0x46		0x80		0x57
Channel071				0x01	0x47		0x80		0x63
Channel072				0x01	0x48		0x80		0x66
Channel073				0x01	0x49		0x80		0x54
Channel074				0x01	0x4A		0x80		0x51
Channel075				0x01	0x4B		0x80		0x6A
Channel076				0x01	0x4C		0x80		0x52
Channel077				0x01	0x4D		0x80		0x48
Channel078				0x01	0x4E		0x80		0x50
Channel079				0x01	0x4F		0x80		0x4C
Channel080				0x01	0x50		0x80		0x87
Channel081				0x01	0x51		0x80		0x72
Channel082				0x01	0x52		0x80		0x6A
Channel083				0x01	0x53		0x80		0x66
Channel084				0x01	0x54		0x80		0x60
Channel085				0x01	0x55		0x80		0x56
Channel086				0x01	0x56		0x80		0x5B
Channel087				0x01	0x57		0x80		0x5F
Channel088				0x01	0x58		0x80		0x4B
Channel089				0x01	0x59		0x80		0x4F
Channel090				0x01	0x5A		0x80		0x51
Channel091				0x01	0x5B		0x80		0x62
Channel092				0x01	0x5C		0x80		0x4F
Channel093				0x01	0x5D		0x80		0x52
Channel094				0x01	0x5E		0x80		0x60
Channel095				0x01	0x5F		0x80		0x5E
Channel096				0x01	0x60		0x80		0x53
Channel097				0x01	0x61		0x80		0x52
Channel098				0x01	0x62		0x80		0x61
Channel099				0x01	0x63		0x80		0x5C
Channel100				0x01	0x64		0x80		0x65
Channel101				0x01	0x65		0x80		0x58
Channel102				0x01	0x66		0x80		0x5A
Channel103				0x01	0x67		0x80		0x58
Channel104				0x01	0x68		0x80		0x58
Channel105				0x01	0x69		0x80		0x52
Channel106				0x01	0x6A		0x80		0x53
Channel107				0x01	0x6B		0x80		0x50
