Sample in Buffer	Sample in Window	TX_O_1	TX_O_0	RX_O_1	RX_O_0	TX DATA	RX DATA	rxerror	addra_rx	pChk_ic_0
0	0	001EC0000000033FC4630050AC2C060049C1DE72	00703D655200360D83B400831CE6400080414293	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000F2A7879F00F2A7879F	9555535555655554D5555	1	5	0	
1	1	0080700000009F030F23005C6E75A200F2A7879F	004811F03000A44D40370061045D680080414286	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0000B08DE85000B08DE85	9555535555655554D5555	1	3	1	
2	2	0046F00000008882CEF6001F3E4CBB00121860CB	00397FCC8A00B8BEABE2000B08DE85008041629B	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0009E0043F8009E0043F8	9555535555655554D5555	1	3	1	
3	3	007840000000EF461A4C00347B84C3004EAA8270	00B81787D0009AEE45E1009E0043F80080416284	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0004609EB00004609EB00	9555535555655554D5555	1	3	1	
4	4	00EE500000006E77D60D00DB28D61900F3CD259C	002479A5E50071D58A74004609EB0000804002AC	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000941694F800941694F8	9555535555655554D5555	1	3	1	
5	5	00D5300000003BAA1A3A00142720620054C48DDA	00E626C461008F6E040F00941694F80080400281	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000C80641B000C80641B0	9555535555655554D5555	1	3	1	
6	6	008600000000DA65DCA10072FB58F900A97D5764	000008C94200728E07E900C80641B0008040228C	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000A408781800A4087818	9555535555655554D5555	1	3	1	
7	7	00E5100000001A9722F300A0A151C700E2E50B22	00C200F030007637028200A4087818008040228B	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000150CB9AD00150CB9AD	9555535555655554D5555	1	3	1	
8	8	0013C0000000BEED4C2400EB7767F800D0C6EAB4	007F886ED4002328118600150CB9AD008040428E	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0006104B6C0006104B6C0	9555535555655554D5555	1	3	1	
9	9	00C5E0000000E2CE33B100D6F194240086A95935	00DE0253C1006F984115006104B6C00080404286	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000891BD49000891BD490	9555535555655554D5555	1	3	1	
10	10	00A2C0000000AB75CA99004B6C903A00E640EA66	007979E6CC000A630EE700891BD4900080406299	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000881E12A000881E12A0	9555535555655554D5555	1	3	1	
11	11	0005D00000007B80BBDC0002AD321700EC6D1E92	00A25598120093202AB900881E12A00080406299	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000681276500068127650	9555535555655554D5555	1	3	1	
12	12	00A17000000005FBBFB3009EA499140082FC0253	00CE12C46000F5700129006812765000804082B6	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0005508ADF8005508ADF8	9555535555655554D5555	1	3	1	
13	13	0001E00000003DCA165600246F2C200096230AA6	007831128100581F410A005508ADF8008040828F	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	00018006E000018006E00	9555535555655554D5555	1	3	1	
14	14	003D40000000CCE7A8A700F46D0280008D1C056E	0080094E70002339C22B0018006E00008040A280	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000BF0AADF800BF0AADF8	9555535555655554D5555	1	3	1	
15	15	00E040000000199F070F00A0622503005F308224	00982B66100056E7034300BF0AADF8008040A28D	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000D11A4C4800D11A4C48	9555535555655554D5555	1	3	1	
16	16	00CD700000005756298800446D928500FBFB80FB	006C1EA38100DB3201D000D11A4C48008040C286	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000881E8CA000881E8CA0	9555535555655554D5555	1	3	1	
17	17	00AD70000000D75AA68F000C387E4600EBF989BC	004812F03000B998415700881E8CA0008040C289	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000891A8C4800891A8C48	9555535555655554D5555	1	3	1	
18	18	0096D0000000CE6CCE4C004B6ACD9900D0865846	003002756A00D843047000891A8C48008040E289	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000881E8C4000881E8C40	9555535555655554D5555	1	3	1	
19	19	00895000000089812E660004BA1B4700CA689546	00B4108DA300FB8D404100881E8C40008040E289	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000AB189C1800AB189C18	9555535555655554D5555	1	3	1	
20	20	00A920000000E58E22B2000EF07A1600E185844E	00D41E70B000E6A4804100AB189C1800804102A4	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000EA185F5000EA185F50	9555535555655554D5555	1	3	1	
21	21	00614000000005550422002841494200E2130F29	00060440D100C44D406A00EA185F50008441028B	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000E10CB0B800E10CB0B8	9555535555655554D5555	1	3	1	
22	22	00208000000045E206B6005422D1210008528259	007C291F40007189030F00E10CB0B80080412294	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000C70CDD2000C70CDD20	9555535555655554D5555	1	3	1	
23	23	008070000000E3AC076300DC4BE06100F7EB8D5C	005A2AD4F00047C0C3C700C70CDD200080412295	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000831CE64000831CE640	9555535555655554D5555	1	3	1	
24	24	001EC0000000033FC4630050AC2C060049C1DE72	00703D655200360D83B400831CE6400080414293	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	00061045D680061045D68	9555535555655554D5555	1	3	1	
25	25	0080700000009F030F23005C6E75A200F2A7879F	004811F03000A44D40370061045D680080414286	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0000B08DE85000B08DE85	9555535555655554D5555	1	3	1	
26	26	0046F00000008882CEF6001F3E4CBB00121860CB	00397FCC8A00B8BEABE2000B08DE85008041629B	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0009E0043F8009E0043F8	9555535555655554D5555	1	3	1	
27	27	007840000000EF461A4C00347B84C3004EAA8270	00B81787D0009AEE45E1009E0043F80080416284	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0004609EB00004609EB00	9555535555655554D5555	1	3	1	
28	28	00EE500000006E77D60D00DB28D61900F3CD259C	002479A5E50071D58A74004609EB0000804002AC	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000941694F800941694F8	9555535555655554D5555	1	3	1	
29	29	00D5300000003BAA1A3A00142720620054C48DDA	00E626C461008F6E040F00941694F80080400281	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000C80641B000C80641B0	9555535555655554D5555	1	3	1	
30	30	008600000000DA65DCA10072FB58F900A97D5764	000008C94200728E07E900C80641B0008040228C	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000A408781800A4087818	9555535555655554D5555	1	3	1	
31	31	00E5100000001A9722F300A0A151C700E2E50B22	00C200F030007637028200A4087818008040228B	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000150CB9AD00150CB9AD	9555535555655554D5555	1	3	1	
32	32	0013C0000000BEED4C2400EB7767F800D0C6EAB4	007F886ED4002328118600150CB9AD008040428E	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0006104B6C0006104B6C0	9555535555655554D5555	1	3	1	
33	33	00C5E0000000E2CE33B100D6F194240086A95935	00DE0253C1006F984115006104B6C00080404286	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000891BD49000891BD490	9555535555655554D5555	1	3	1	
34	34	00A2C0000000AB75CA99004B6C903A00E640EA66	007979E6CC000A630EE700891BD4900080406299	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000881E12A000881E12A0	9555535555655554D5555	1	3	1	
35	35	0005D00000007B80BBDC0002AD321700EC6D1E92	00A25598120093202AB900881E12A00080406299	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000681276500068127650	9555535555655554D5555	1	3	1	
36	36	00A17000000005FBBFB3009EA499140082FC0253	00CE12C46000F5700129006812765000804082B6	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	0005508ADF8005508ADF8	9555535555655554D5555	1	3	1	
37	37	0001E00000003DCA165600246F2C200096230AA6	007831128100581F410A005508ADF8008040828F	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	00018006E000018006E00	9555535555655554D5555	1	3	1	
38	38	003D40000000CCE7A8A700F46D0280008D1C056E	0080094E70002339C22B0018006E00008040A280	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000BF0AADF800BF0AADF8	9555535555655554D5555	1	3	1	
39	39	00E040000000199F070F00A0622503005F308224	00982B66100056E7034300BF0AADF8008040A28D	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000D11A4C4800D11A4C48	9555535555655554D5555	1	3	1	
40	40	00CD700000005756298800446D928500FBFB80FB	006C1EA38100DB3201D000D11A4C48008040C286	D5554D5555D5554D5555D5554D5555D5554D5555	D5554D5555D5554D5555D5554D5555D5554D5555	000881E8CA000881E8CA0	9555535555655554D5555	1	3	1	
