Sample in Buffer	Sample in Window	addra_0	douta_0m	douta_1m	douta_2m	douta_3m	douta_4m	douta_5m	douta_6m	douta_7m
0	0	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
1	1	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
2	2	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
3	3	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
4	4	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
5	5	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
6	6	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
7	7	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
8	8	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
9	9	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
10	10	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
11	11	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
12	12	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
13	13	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
14	14	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
15	15	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
16	16	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
17	17	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
18	18	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
19	19	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
20	20	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
21	21	04	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
22	22	05	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
23	23	05	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
24	24	05	041B07	0C8E5F	0D32EE	1DD50D	064A15	1EDC08	1B4284	03AD53	
25	25	05	041B07	0C8E5F	0D32EE	1DD50D	0A1860	1EDC08	1B4284	03AD53	
26	26	05	041B07	0C8E5F	0D32EE	1DD50D	0A1860	1EDC08	1B4284	03AD53	
27	27	05	041B07	0C8E5F	0D32EE	1DD50D	0A1860	1EDC08	1B4284	03AD53	
28	28	05	041B07	0C8E5F	0D32EE	1DD50D	0A1860	1EDC08	1B4284	03AD53	
29	29	05	041B07	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	03AD53	
30	30	05	041B07	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	03AD53	
31	31	05	041B07	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
32	32	05	041B07	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
33	33	05	0C6E05	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
34	34	05	0C6E05	0C8E5F	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
35	35	05	0C6E05	00B080	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
36	36	05	0C6E05	00B080	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
37	37	05	0C6E05	00B080	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
38	38	05	0C6E05	00B080	0D32EE	05D204	0A1860	1EDC08	1B4284	078187	
39	39	05	0C6E05	00B080	0D32EE	05D204	0A1860	02E50B	1B4284	078187	
40	40	05	0C6E05	00B080	0D32EE	05D204	0A1860	02E50B	1B4284	078187	
41	41	05	045414	00B080	0D32EE	05D204	0A1860	02E50B	1B4284	078187	
42	42	05	045414	00B080	0D32EE	05D204	0A1860	02E50B	1B4284	078187	
43	43	05	045414	00B080	05471C	05D204	0A1860	02E50B	1B4284	078187	
44	44	05	045414	00B080	05471C	05D204	0A1860	02E50B	1B4284	078187	
45	45	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
46	46	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
47	47	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
48	48	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
49	49	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
50	50	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
51	51	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
52	52	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
53	53	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
54	54	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
55	55	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
56	56	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
57	57	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
58	58	05	045414	00B080	0D4B91	05D204	0A1860	02E50B	1B4284	078187	
